CVCL	label
cellosaurus:CVCL_1169	DBTRG-05MG
cellosaurus:CVCL_1169	DBTRG-05MG
cellosaurus:CVCL_M814	DDLS8817
cellosaurus:CVCL_M814	DDLS8817
cellosaurus:CVCL_1170	DEL
cellosaurus:CVCL_1171	Detroit 562
cellosaurus:CVCL_1171	Detroit 562
cellosaurus:CVCL_1171	Detroit 562
cellosaurus:CVCL_1171	Detroit 562
cellosaurus:CVCL_1171	Detroit 562
cellosaurus:CVCL_0244	DG-75
cellosaurus:CVCL_0244	DG-75
cellosaurus:CVCL_0244	DG-75
cellosaurus:CVCL_0244	DG-75
cellosaurus:CVCL_0244	DG-75
cellosaurus:CVCL_1173	DK-MG
cellosaurus:CVCL_1173	DK-MG
cellosaurus:CVCL_1173	DK-MG
cellosaurus:CVCL_1173	DK-MG
cellosaurus:CVCL_2019	DM-3
cellosaurus:CVCL_1174	DMS 114
cellosaurus:CVCL_1174	DMS 114
cellosaurus:CVCL_1174	DMS 114
cellosaurus:CVCL_1174	DMS 114
cellosaurus:CVCL_1175	DMS 153
cellosaurus:CVCL_1175	DMS 153
cellosaurus:CVCL_1175	DMS 153
cellosaurus:CVCL_1175	DMS 153
cellosaurus:CVCL_1176	DMS 273
cellosaurus:CVCL_1176	DMS 273
cellosaurus:CVCL_1176	DMS 273
cellosaurus:CVCL_1176	DMS 273
cellosaurus:CVCL_2438	DMS 454
cellosaurus:CVCL_1177	DMS 53
cellosaurus:CVCL_1177	DMS 53
cellosaurus:CVCL_1177	DMS 53
cellosaurus:CVCL_1177	DMS 53
cellosaurus:CVCL_1177	DMS 53
cellosaurus:CVCL_1178	DMS 79
cellosaurus:CVCL_1178	DMS 79
cellosaurus:CVCL_1178	DMS 79
cellosaurus:CVCL_1178	DMS 79
cellosaurus:CVCL_1178	DMS 79
cellosaurus:CVCL_2439	DMS 92
cellosaurus:CVCL_2022	DND-41
cellosaurus:CVCL_1179	DoHH2
cellosaurus:CVCL_1179	DoHH2
cellosaurus:CVCL_1179	DoHH2
cellosaurus:CVCL_1179	DoHH2
cellosaurus:CVCL_1179	DoHH2
cellosaurus:CVCL_1179	DoHH2
cellosaurus:CVCL_1181	DoTc2 4510
cellosaurus:CVCL_1181	DoTc2 4510
cellosaurus:CVCL_1181	DoTc2 4510
cellosaurus:CVCL_1181	DoTc2 4510
cellosaurus:CVCL_1183	DU4475
